nombre_estacion,id_comuna
BILLINGHURST Y MANSILLA,1
BILLINGHURST,1
QUINTANA,1
JUNCAL,1
POSADAS,1
RIOBAMBA,1
PEÑA,1
HOSPITAL ALEMÁN,1
CORONEL DÍAZ,1
AUSTRIA Y FRENCH,1
GUTIÉRREZ,1
EMILIO MITRE,1
ARENALES Y AGÜERO,1
PLAZA VICENTE LÓPEZ,1
CEMENTERIO DE LA RECOLETA,1
AGÜERO,1
PLAZA VICENTE LOPEZ,1
AGUERO,1
CEMENTERIO DE RECOLETA,1
GUTIERREZ,1
CORONEL DIAZ,1
ARENALES Y AGUERO,1
BARRIO 31,1
066 - BILLINGHURST,1
030 - PEÑA,1
090 - GUTIERREZ,1
059 - CORONEL DIAZ,1
166 - CEMENTERIO DE RECOLETA,1
009 - PARQUE LAS HERAS,1
190 - JUNCAL,1
012 - PLAZA VICENTE LOPEZ,1
200 - AUSTRIA Y FRENCH,1
064 - RIOBAMBA,1
085 - AGUERO,1
181 - BILLINGHURST Y MANSILLA,1
116 - HOSPITAL ALEMÁN,1
193 - ARENALES Y AGUERO,1
189 - POSADAS,1
393 - BARRIO 31,1
115 - QUINTANA,1
119 - EMILIO MITRE,1
AV PAVÓN Y 33 ORIENTALES,2
VELASCO,2
QUINTINO BOCAYUVA,2
ACUÑA DE FIGUEROA,2
CASTRO Y MÉXICO,2
ESTADOS UNIDOS Y BOEDO,2
PERÓN Y FRANCISCO ACUÑA DE FIGUEROA,2
INSTITUTO LELOIR,2
PARQUE CENTENARIO,2
DON BOSCO,2
BILLINGHURST Y VALENTÍN GOMEZ,2
GUARDIA VIEJA,2
YATAY,2
TREINTA Y TRES ORIENTALES,2
HOSPITAL ITALIANO,2
LERMA,2
ARANGUREN,2
JOSÉ MARMOL,2
PLAZA ALMAGRO,2
HUMAHUACA,2
33 ORIENTALES,2
INSTITUTO  LELOIR,2
PERÓN Y ACUÑA DE FIGUEROA,2
CASTRO Y MEXICO,2
AV. PAVÓN Y 33 ORIENTALES,2
BOEDO & VENEZUELA,2
ACUÑA DE FIGUEROA Y POTOSI,2
178 - JOSÉ MARMOL,2
143 - BILLINGHURST Y VALENTÍN GOMEZ,2
167 - HIPÓLITO YRIGOYEN,2
029 - PARQUE CENTENARIO,2
180 - CASTRO Y MEXICO,2
194 - PERÓN Y ACUÑA DE FIGUEROA,2
049 - 33 ORIENTALES,2
134 - DON BOSCO,2
074 - INSTITUTO  LELOIR,2
188 - ARANGUREN,2
199 - ESTADOS UNIDOS Y BOEDO,2
129 - VELASCO,2
197 - QUINTINO BOCAYUVA,2
082 - HOSPITAL ITALIANO,2
110 - GUARDIA VIEJA,2
161 - HUMAHUACA,2
185 - AV. PAVÓN Y 33 ORIENTALES,2
121 - YATAY,2
054 - ACUÑA DE FIGUEROA,2
383 - BOEDO & VENEZUELA,2
017 - PLAZA ALMAGRO,2
327 - ACUÑA DE FIGUEROA Y POTOSI,2
109 - LERMA,2
HIPÓLITO YRIGOYEN,3
DOBLAS,3
PARQUE RIVADAVIA,3
GUAYAQUIL,3
PLAZA BENITO NAZAR,3
PRIMERA JUNTA,3
PAYSANDU,3
PUAN,3
PLAZA BRUNO GIORDANO,3
PLAZA IRLANDA,3
PLAZA 24 DE SEPTIEMBRE,3
GAINZA,3
FERROCARRIL OESTE,3
HIDALGO,3
SIMON BOLIVAR,3
CALASANZ,3
ROJAS,3
PAYSANDU Y GALICIA,3
SAN MARTIN,3
SOR JUANA,3
CERVANTES Y TRELLES,3
JOSE MARIA MORENO,3
PARQUE CHACABUCO  I,3
SANATORIO MENDEZ,3
ARANGUREN Y SEGUI,3
FRANKLIN,3
211 - ARANGUREN Y SEGUI,3
319 - CERVANTES Y TRELLES,3
398 - ROJAS,3
276 - PRIMERA JUNTA,3
392 - CALASANZ,3
299 - HIDALGO,3
