fecha,llovio,temperatura_maxima,temperatura_minima,temperatura_promedio,barometro_mbar_max,barometro_mbar_min,barometro_mbar_promedio,viento_kmh_max,viento_kmh_min,viento_kmh_promedio,humedad_porc_max,humedad_porc_min,humedad_porc_promedio
2019-01-01,0,31.0,26.0,28.75,1011,1006,1008.75,18,14,15.75,80,71,77.5
2019-01-02,0,30.0,25.0,28.0,1006,1003,1004.5,16,8,12.25,86,80,83.25
2019-01-03,0,25.0,21.0,23.0,1013,1009,1011.5,19,10,14.5,60,48,52.0
2019-01-04,0,27.0,22.0,25.5,1015,1013,1013.75,19,12,15.75,59,47,54.0
2019-01-05,0,29.0,26.0,27.5,1014,1008,1011.75,20,14,17.0,61,41,53.5
2019-01-06,1,29.0,25.0,27.5,1003,863,941.25,15,8,12.25,76,60,66.25
2019-01-07,0,28.0,23.0,26.0,1001,999,1000.0,10,5,7.75,87,66,76.0
2019-01-08,0,31.0,24.0,28.75,1009,1004,1007.0,20,11,14.0,84,57,69.0
2019-01-09,0,30.0,26.0,28.5,1008,1005,1006.25,17,16,16.5,76,49,60.75
2019-01-10,0,24.0,22.0,22.5,1018,1010,1014.0,23,15,17.5,73,65,67.75
2019-01-11,0,23.0,17.0,21.25,1021,1018,1019.5,20,9,14.5,68,37,53.5
2019-01-12,0,26.0,22.0,24.75,1017,1013,1015.5,24,14,18.25,76,59,69.5
2019-01-13,0,25.0,23.0,24.25,1014,1013,1013.25,19,12,14.75,90,81,84.5
2019-01-14,0,27.0,23.0,25.25,1013,1012,1012.75,24,6,15.5,88,75,82.5
2019-01-15,1,26.0,22.0,23.75,1012,1008,1009.75,21,11,15.25,95,84,88.5
2019-01-16,0,27.0,21.0,25.25,1011,1008,1009.5,12,6,8.25,93,68,78.0
2019-01-17,0,25.0,22.0,23.25,1020,1015,1018.0,31,10,22.25,74,58,63.25
2019-01-18,1,23.0,18.0,21.0,1022,1021,1021.25,21,11,16.25,81,60,71.5
