fecha_inicio_viaje,CANT_VIAJES
2019-01-01,796
2019-01-02,2720
2019-01-03,4983
2019-01-04,5739
2019-01-05,3679
2019-01-06,2508
2019-01-07,5083
2019-01-08,5181
2019-01-09,4970
2019-01-10,5545
2019-01-11,6056
2019-01-12,3869
2019-01-13,2806
2019-01-14,5694
2019-01-15,2878
2019-01-16,4990
2019-01-17,5193
2019-01-18,4222
2019-01-19,2713
2019-01-20,2019
2019-01-21,4820
2019-01-22,4921
2019-01-23,4903
2019-01-24,5174
2019-01-25,3492
2019-01-26,3026
2019-01-27,2057
2019-01-28,4088
2019-01-29,3684
2019-01-30,4046
2019-01-31,4058
2019-02-01,4543
2019-02-02,3059
2019-02-03,2152
2019-02-04,4466
2019-02-05,4800
2019-02-06,4711
2019-02-07,4474
2019-02-08,4152
2019-02-09,2747
2019-02-10,2366
2019-02-11,3510
2019-02-12,4076
2019-02-13,4036
2019-02-14,3013
2019-02-15,3990
2019-02-16,2425
2019-02-17,1958
2019-02-18,3661
2019-02-19,3698
2019-02-20,3486
2019-02-21,2284
2019-02-22,266
2019-02-25,1429
2019-02-26,2483
2019-02-27,3318
2019-02-28,3967
2019-03-01,4257
2019-03-02,3828
2019-03-03,3937
2019-03-04,3267
2019-03-05,4319
2019-03-06,5217
2019-03-07,4076
2019-03-08,5926
2019-03-09,5234
2019-03-10,4894
2019-03-11,6801
2019-03-12,4952
2019-03-13,7604
2019-03-14,7988
2019-03-15,7483
2019-03-16,6210
2019-03-17,5096
2019-03-18,8005
2019-03-19,7759
2019-03-20,8360
2019-03-21,8291
2019-03-22,8223
2019-03-23,6193
2019-03-24,5292
2019-03-25,8007
2019-03-26,8656
2019-03-27,8268
2019-03-28,7912
2019-03-29,8538
2019-03-30,6602
2019-03-31,5668
2019-04-01,9275
2019-04-02,6364
2019-04-03,9008
2019-04-04,8042
2019-04-05,8998
2019-04-06,6338
2019-04-07,5811
2019-04-08,8970
2019-04-09,8850
2019-04-10,8926
2019-04-11,7787
2019-04-12,9177
2019-04-13,6442
2019-04-14,5413
2019-04-15,8509
2019-04-16,8616
2019-04-17,9023
2019-04-18,7154
2019-04-19,5357
2019-04-20,5693
2019-04-21,4811
2019-04-22,7843
2019-04-23,7925
2019-04-24,7420
2019-04-25,8049
2019-04-26,3349
2019-04-27,4376
2019-04-28,4663
2019-04-29,6918
2019-04-30,5941
2019-05-01,3720
2019-05-02,6347
2019-05-03,6417
2019-05-04,5076
2019-05-05,3265
2019-05-06,7032
2019-05-07,7535
2019-05-08,11001
2019-05-09,8935
2019-05-10,13757
2019-05-11,14634
2019-05-12,13670
2019-05-13,17679
2019-05-14,17812
2019-05-15,20691
2019-05-16,20496
2019-05-17,17011
2019-05-18,18522
2019-05-19,15709
2019-05-20,17287
2019-05-21,22653
2019-05-22,26576
2019-05-23,26738
2019-05-24,26649
2019-05-25,27116
2019-05-26,27169
