id_comuna_origen,id_comuna_destino,CANTIDAD_VIAJES
1,1,138308
1,2,46615
1,3,11013
1,4,3670
1,5,215
1,6,494
1,7,1106
1,8,2388
1,9,145553
1,10,78300
1,11,13868
1,12,120
1,13,7682
1,14,113588
1,15,16054
2,1,44790
2,2,210981
2,3,83039
2,4,32806
2,5,1783
2,6,3613
2,7,5230
2,8,4542
2,9,99205
2,10,108446
2,11,54663
2,12,707
2,13,26744
2,14,74898
2,15,13719
3,1,9142
3,2,80295
3,3,162998
3,4,73957
3,5,4815
3,6,6468
3,7,14118
3,8,2497
3,9,29371
3,10,28280
3,11,45812
3,12,839
3,13,13089
3,14,23561
3,15,6564
4,1,2919
4,2,31312
4,3,70510
4,4,167097
4,5,16875
4,6,10642
4,7,16810
4,8,1534
4,9,8445
4,10,13379
4,11,14243
4,12,4144
4,13,18736
4,14,12775
4,15,2853
5,1,155
5,2,1450
5,3,3988
5,4,15678
5,5,26285
5,6,4644
5,7,2059
5,8,160
5,9,517
5,10,848
5,11,1116
5,12,1305
5,13,777
5,14,1054
5,15,172
6,1,423
6,2,3387
6,3,5647
6,4,11246
6,5,4963
6,6,15555
6,7,4842
6,8,352
6,9,1481
6,10,1550
6,11,2186
6,12,410
6,13,643
6,14,1156
6,15,393
7,1,872
7,2,4879
7,3,12939
7,4,16570
7,5,2503
7,6,5296
7,7,91432
7,8,6873
7,9,4740
7,10,2384
7,11,20836
7,12,363
7,13,3939
7,14,2039
7,15,4084
8,1,1981
8,2,4393
8,3,2793
8,4,1992
8,5,222
8,6,596
8,7,7062
8,8,110248
8,9,19318
8,10,2311
8,11,26361
8,12,40
8,13,271
8,14,2041
8,15,81464
9,1,151956
9,2,101069
9,3,31507
9,4,9209
9,5,680
9,6,1952
9,7,5151
9,8,20137
9,9,626681
9,10,81875
9,11,90331
9,12,165
9,13,8518
9,14,110648
9,15,140238
10,1,76626
10,2,107953
10,3,29134
10,4,14553
10,5,1085
10,6,1640
10,7,2686
10,8,2397
10,9,80817
10,10,228939
10,11,23932
10,12,762
10,13,40955
10,14,207078
10,15,9105
11,1,15289
11,2,58774
11,3,48282
11,4,16410
11,5,1305
11,6,2350
11,7,24273
11,8,27823
11,9,92903
11,10,28127
11,11,172801
11,12,272
11,13,4518
11,14,20228
11,15,51683
12,1,116
12,2,587
12,3,776
12,4,3672
12,5,1110
12,6,220
12,7,317
12,8,29
12,9,131
12,10,499
12,11,163
12,12,27390
12,13,5905
12,14,863
12,15,18
13,1,7577
13,2,24563
13,3,11396
13,4,17908
13,5,868
13,6,656
13,7,4422
13,8,456
13,9,8628
13,10,37637
13,11,3854
13,12,6480
13,13,324736
13,14,147396
13,15,1423
14,1,114063
14,2,74501
14,3,26620
14,4,14763
14,5,1442
14,6,1399
14,7,2389
14,8,2520
14,9,111482
14,10,214432
14,11,17616
14,12,1125
14,13,157400
14,14,1132084
14,15,15555
15,1,17184
15,2,14494
15,3,6894
15,4,3113
15,5,192
15,6,389
15,7,4399
15,8,85354
15,9,141811
15,10,9226
15,11,49311
15,12,39
15,13,1392
15,14,13115
15,15,310003
